,c1qb,Case.ID,Sample.ID
850,748134.862442,TCGA-E2-A105,TCGA-E2-A105-01A
851,765800.816033,TCGA-EW-A6SC,TCGA-EW-A6SC-01A
852,2435853.80016,TCGA-BH-A0HF,TCGA-BH-A0HF-01A
853,2660800.93117,TCGA-PL-A8LX,TCGA-PL-A8LX-01A
854,1039981.52301,TCGA-E9-A1RI,TCGA-E9-A1RI-01A
855,3373836.08556,TCGA-LL-A5YP,TCGA-LL-A5YP-01A
856,1315236.48616,TCGA-AQ-A04J,TCGA-AQ-A04J-01A
857,1331952.78494,TCGA-BH-A1FH,TCGA-BH-A1FH-01A
858,228982.659656,TCGA-AN-A0XO,TCGA-AN-A0XO-01A
859,1653586.91721,TCGA-LL-A740,TCGA-LL-A740-01A
860,1600702.52584,TCGA-AQ-A1H2,TCGA-AQ-A1H2-01A
861,4012882.26937,TCGA-BH-A2L8,TCGA-BH-A2L8-01A
862,2376891.56653,TCGA-AR-A0U4,TCGA-AR-A0U4-01A
863,1623692.09112,TCGA-C8-A135,TCGA-C8-A135-01A
864,613694.279967,TCGA-B6-A0IM,TCGA-B6-A0IM-01A
865,619150.989443,TCGA-B6-A0IQ,TCGA-B6-A0IQ-01A
866,1539622.9615,TCGA-AC-A2B8,TCGA-AC-A2B8-01A
867,1947096.59733,TCGA-AO-A0J6,TCGA-AO-A0J6-01A
868,660442.8117689999,TCGA-BH-A0B8,TCGA-BH-A0B8-01A
869,3968373.81065,TCGA-BH-A0AW,TCGA-BH-A0AW-01A
870,6001801.9753,TCGA-BH-A1EO,TCGA-BH-A1EO-11A
871,1511951.85549,TCGA-E9-A22B,TCGA-E9-A22B-01A
872,1222875.09722,TCGA-D8-A1XZ,TCGA-D8-A1XZ-01A
873,556308.6538409999,TCGA-BH-A1FN,TCGA-BH-A1FN-01A
874,1181674.65766,TCGA-A7-A26F,TCGA-A7-A26F-01B
875,854713.5833470002,TCGA-BH-A204,TCGA-BH-A204-01A
876,1514589.30851,TCGA-E9-A1R3,TCGA-E9-A1R3-01A
877,2173087.05474,TCGA-AC-A23E,TCGA-AC-A23E-01A
878,1361433.45864,TCGA-A1-A0SN,TCGA-A1-A0SN-01A
879,1410769.29073,TCGA-BH-A0DP,TCGA-BH-A0DP-01A
880,696245.156009,TCGA-BH-A18K,TCGA-BH-A18K-01A
881,1444424.94369,TCGA-E9-A1RD,TCGA-E9-A1RD-01A
882,2504688.91272,TCGA-E9-A3X8,TCGA-E9-A3X8-01A
883,1001972.05034,TCGA-A7-A5ZW,TCGA-A7-A5ZW-01A
884,2032373.76837,TCGA-A2-A0YF,TCGA-A2-A0YF-01A
885,868284.895831,TCGA-BH-A0WA,TCGA-BH-A0WA-01A
886,2887193.45561,TCGA-A8-A08J,TCGA-A8-A08J-01A
887,492566.255354,TCGA-C8-A26Z,TCGA-C8-A26Z-01A
888,2568519.94736,TCGA-A2-A0EV,TCGA-A2-A0EV-01A
889,1517510.56201,TCGA-A2-A0T6,TCGA-A2-A0T6-01A
890,1995350.95922,TCGA-AN-A0XS,TCGA-AN-A0XS-01A
891,617149.8602550001,TCGA-A2-A1G4,TCGA-A2-A1G4-01A
892,1456943.13818,TCGA-AC-A23H,TCGA-AC-A23H-11A
893,3205399.50081,TCGA-BH-A0B3,TCGA-BH-A0B3-01A
894,4206036.643569998,TCGA-A8-A08R,TCGA-A8-A08R-01A
895,552028.4960319999,TCGA-E9-A244,TCGA-E9-A244-01A
896,591976.9531800001,TCGA-A8-A06Q,TCGA-A8-A06Q-01A
897,15771893.0194,TCGA-AO-A128,TCGA-AO-A128-01A
898,1955353.70974,TCGA-XX-A899,TCGA-XX-A899-01A
899,434120.036234,TCGA-BH-A18P,TCGA-BH-A18P-11A
900,2705746.56961,TCGA-AC-A3W6,TCGA-AC-A3W6-01A
901,849898.287553,TCGA-BH-A0H0,TCGA-BH-A0H0-01A
902,3499343.5225400007,TCGA-A7-A56D,TCGA-A7-A56D-01A
903,575251.465797,TCGA-BH-A0B7,TCGA-BH-A0B7-11A
904,2672920.28261,TCGA-3C-AALI,TCGA-3C-AALI-01A
905,1631144.93864,TCGA-E9-A1QZ,TCGA-E9-A1QZ-01A
906,1514966.85376,TCGA-E2-A1B0,TCGA-E2-A1B0-01A
907,519367.429706,TCGA-D8-A27P,TCGA-D8-A27P-01A
908,10352072.0421,TCGA-D8-A73U,TCGA-D8-A73U-01A
909,1513643.27975,TCGA-A2-A3XS,TCGA-A2-A3XS-01A
910,728534.479193,TCGA-AO-A12A,TCGA-AO-A12A-01A
911,3014724.45339,TCGA-AC-A2FB,TCGA-AC-A2FB-11A
912,349987.869152,TCGA-B6-A0RG,TCGA-B6-A0RG-01A
913,329597.049039,TCGA-AR-A24W,TCGA-AR-A24W-01A
914,2831797.54227,TCGA-BH-A0DG,TCGA-BH-A0DG-01A
915,1199651.23107,TCGA-GM-A5PV,TCGA-GM-A5PV-01A
916,1746989.27206,TCGA-OL-A5RU,TCGA-OL-A5RU-01A
917,1044652.76888,TCGA-E2-A15K,TCGA-E2-A15K-06A
918,1133339.91992,TCGA-AN-A03X,TCGA-AN-A03X-01A
919,1034440.54668,TCGA-AC-A23C,TCGA-AC-A23C-01A
920,1007349.1302,TCGA-E2-A572,TCGA-E2-A572-01A
921,4314299.05102,TCGA-D8-A1Y3,TCGA-D8-A1Y3-01A
922,1931270.17238,TCGA-BH-A0BV,TCGA-BH-A0BV-01A
923,2729138.66482,TCGA-D8-A27N,TCGA-D8-A27N-01A
924,4859886.13734,TCGA-EW-A1IZ,TCGA-EW-A1IZ-01A
925,382140.920302,TCGA-AN-A0XT,TCGA-AN-A0XT-01A
926,630227.093078,TCGA-BH-A0DP,TCGA-BH-A0DP-11A
927,3038123.10289,TCGA-A2-A0ST,TCGA-A2-A0ST-01A
928,2193054.54866,TCGA-EW-A1J6,TCGA-EW-A1J6-01A
929,1016345.49457,TCGA-A8-A0A9,TCGA-A8-A0A9-01A
930,309069.206668,TCGA-C8-A1HJ,TCGA-C8-A1HJ-01A
931,1204708.8478700002,TCGA-A8-A0AD,TCGA-A8-A0AD-01A
932,2302143.45423,TCGA-A2-A0YI,TCGA-A2-A0YI-01A
933,625923.203886,TCGA-BH-A0HU,TCGA-BH-A0HU-01A
934,1582612.15358,TCGA-A2-A3XZ,TCGA-A2-A3XZ-01A
935,2239826.98517,TCGA-AC-A8OQ,TCGA-AC-A8OQ-01A
936,2234512.83473,TCGA-D8-A141,TCGA-D8-A141-01A
937,324404.11732,TCGA-D8-A13Y,TCGA-D8-A13Y-01A
938,1000898.82848,TCGA-E2-A1LL,TCGA-E2-A1LL-01A
939,968971.499952,TCGA-BH-A1FG,TCGA-BH-A1FG-01A
940,4094242.9257,TCGA-E9-A1NG,TCGA-E9-A1NG-11A
941,931715.125327,TCGA-BH-A0HK,TCGA-BH-A0HK-01A
942,1035403.96037,TCGA-E9-A228,TCGA-E9-A228-01A
943,539798.570221,TCGA-B6-A0WT,TCGA-B6-A0WT-01A
944,615798.700691,TCGA-A1-A0SJ,TCGA-A1-A0SJ-01A
945,1620113.72016,TCGA-E2-A2P6,TCGA-E2-A2P6-01A
946,10109380.875,TCGA-AR-A2LJ,TCGA-AR-A2LJ-01A
947,1035991.79761,TCGA-BH-A0E6,TCGA-BH-A0E6-01A
